# accelerometer data
# file: 'rgbd_dataset_freiburg1_desk2.bag'
# timestamp ax ay az
1305031522.886713 0.478957 8.297935 -8.214117
1305031522.889788 0.574749 8.297935 -8.094378
1305031522.890839 0.574749 8.297935 -8.094378
1305031522.894461 0.862123 8.202143 -7.807003
1305031522.895467 0.862123 8.202143 -7.807003
1305031522.898680 0.862123 8.297935 -7.519629
1305031522.899845 0.862123 8.297935 -7.519629
1305031522.903339 0.874097 8.297935 -7.759108
1305031522.904429 0.874097 8.297935 -7.759108
1305031522.905711 0.874097 8.297935 -7.759108
1305031522.906692 0.874097 8.297935 -7.759108
1305031522.909843 1.245289 8.010560 -7.519629
1305031522.910882 1.245289 8.010560 -7.519629
1305031522.914449 1.209367 8.010560 -7.232255
1305031522.915479 1.209367 8.010560 -7.232255
1305031522.918711 1.257263 8.010560 -7.232255
1305031522.919760 1.257263 8.010560 -7.232255
1305031522.923342 1.209367 8.010560 -7.232255
1305031522.924325 1.209367 8.010560 -7.232255
1305031522.925591 1.209367 8.010560 -7.232255
1305031522.926654 1.209367 8.010560 -7.232255
1305031522.929812 1.257263 8.022534 -7.052646
1305031522.930885 1.257263 8.022534 -7.052646
1305031522.934460 1.293185 8.106352 -6.849089
1305031522.935592 1.293185 8.106352 -6.849089
1305031522.938712 1.257263 8.202143 -6.849089
1305031522.939798 1.257263 8.202143 -6.849089
1305031522.943341 1.269237 8.106352 -6.992776
1305031522.944317 1.269237 8.106352 -6.992776
1305031522.945570 1.269237 8.106352 -6.992776
1305031522.946729 1.269237 8.106352 -6.992776
1305031522.949826 1.544637 8.202143 -7.232255
1305031522.950836 1.544637 8.202143 -7.232255
1305031522.954322 1.544637 8.393726 -7.447785
1305031522.955464 1.544637 8.393726 -7.447785
1305031522.958565 1.592533 8.585309 -7.435812
1305031522.959722 1.592533 8.585309 -7.435812
1305031522.960820 1.592533 8.585309 -7.435812
1305031522.962204 1.592533 8.585309 -7.435812
1305031522.965658 1.341080 8.681100 -7.854899
1305031522.966584 1.341080 8.681100 -7.854899
1305031522.969945 1.448846 8.585309 -8.190169
1305031522.971007 1.448846 8.585309 -8.190169
1305031522.974430 1.448846 8.681100 -8.190169
1305031522.975449 1.448846 8.681100 -8.190169
1305031522.978693 1.293185 8.728996 -8.381752
1305031522.979840 1.293185 8.728996 -8.381752
1305031522.983300 1.341080 8.681100 -8.381752
1305031522.984437 1.341080 8.681100 -8.381752
1305031522.985714 1.341080 8.681100 -8.381752
1305031522.986740 1.341080 8.681100 -8.381752
1305031522.989814 1.448846 8.681100 -8.573335
1305031522.990882 1.448846 8.681100 -8.573335
1305031522.994469 1.448846 8.585309 -8.561361
1305031522.995457 1.448846 8.585309 -8.561361
1305031522.998680 1.592533 8.441622 -8.669126
1305031522.999710 1.592533 8.441622 -8.669126
1305031523.003375 1.448846 8.417674 -8.764918
1305031523.004300 1.448846 8.417674 -8.764918
1305031523.005574 1.448846 8.417674 -8.764918
1305031523.006717 1.448846 8.417674 -8.764918
1305031523.009835 1.448846 8.202143 -8.764918
1305031523.010864 1.448846 8.202143 -8.764918
1305031523.014445 1.448846 8.202143 -8.860709
1305031523.015446 1.448846 8.202143 -8.860709
1305031523.018709 1.628455 8.022534 -8.944527
1305031523.019756 1.628455 8.022534 -8.944527
1305031523.023358 1.628455 8.345830 -8.525439
1305031523.024460 1.628455 8.345830 -8.525439
1305031523.025712 1.628455 8.345830 -8.525439
1305031523.026779 1.628455 8.345830 -8.525439
1305031523.029822 1.640429 8.106352 -8.573335
1305031523.030838 1.640429 8.106352 -8.573335
1305031523.034484 1.820038 8.106352 -8.381752
1305031523.035446 1.820038 8.106352 -8.381752
1305031523.038694 1.927803 8.106352 -8.381752
1305031523.039707 1.927803 8.106352 -8.381752
1305031523.043498 2.011621 8.202143 -7.998586
1305031523.044461 2.011621 8.202143 -7.998586
1305031523.045712 2.011621 8.202143 -7.998586
1305031523.046710 2.011621 8.202143 -7.998586
1305031523.049807 2.215177 8.010560 -7.998586
1305031523.050835 2.215177 8.010560 -7.998586
1305031523.054455 2.394786 7.818977 -7.807003
1305031523.055490 2.394786 7.818977 -7.807003
1305031523.058568 2.406760 7.818977 -7.615421
1305031523.059725 2.406760 7.818977 -7.615421
1305031523.060960 2.406760 7.818977 -7.615421
1305031523.062229 2.406760 7.818977 -7.615421
1305031523.065743 2.586369 7.627394 -7.807003
1305031523.066749 2.586369 7.627394 -7.807003
1305031523.069814 2.490578 7.292124 -7.807003
1305031523.070859 2.490578 7.292124 -7.807003
1305031523.074429 2.742030 7.340020 -7.902795
1305031523.075445 2.742030 7.340020 -7.902795
1305031523.078722 2.694135 7.244229 -7.998586
1305031523.079843 2.694135 7.244229 -7.998586
1305031523.083344 2.586369 7.052646 -8.285961
1305031523.084440 2.586369 7.052646 -8.285961
1305031523.085712 2.586369 7.052646 -8.285961
1305031523.086738 2.586369 7.052646 -8.285961
1305031523.089810 2.694135 6.956854 -8.381752
1305031523.090878 2.694135 6.956854 -8.381752
1305031523.094472 2.694135 6.861063 -8.573335
1305031523.095465 2.694135 6.861063 -8.573335
1305031523.098742 2.742030 6.861063 -8.477544
1305031523.099825 2.742030 6.861063 -8.477544
1305031523.100819 2.742030 6.861063 -8.477544
1305031523.104473 2.789926 6.669480 -8.621231
1305031523.105587 2.789926 6.669480 -8.621231
1305031523.108682 2.789926 6.669480 -8.573335
1305031523.109687 2.789926 6.669480 -8.573335
1305031523.113342 2.789926 6.861063 -8.573335
1305031523.114290 2.789926 6.861063 -8.573335
1305031523.115597 2.789926 6.861063 -8.573335
1305031523.116571 2.789926 6.861063 -8.573335
1305031523.119803 2.765978 7.052646 -8.285961
1305031523.120862 2.765978 7.052646 -8.285961
1305031523.124422 2.789926 7.148437 -8.142274
1305031523.125444 2.789926 7.148437 -8.142274
1305031523.128740 2.789926 6.956854 -8.142274
1305031523.129728 2.789926 6.956854 -8.142274
